parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
1	0.930000	0.070000	0.003636	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.005455	-40.716744	-93.647448	-29.906238	127.482420	21.621013
2	0.900000	0.100000	0.007491	0.900000	0.090000	0.890000	0.077900	0.795710	0.870000	0.090000	0.000000	-50.717926	-113.812740	-42.879824	141.865832	15.676204
3	0.930000	0.070000	0.006873	0.930000	0.065100	0.930000	0.065100	1.000000	0.930000	0.070000	0.010309	-48.874352	-109.235082	-36.463185	145.543795	24.822336
4	0.900000	0.100000	0.010033	0.900000	0.090000	0.910000	0.081900	1.000000	0.910000	0.090000	0.010033	-62.533379	-127.066877	-50.017994	154.097766	25.030771
5	0.930000	0.070000	0.010067	0.930000	0.065100	0.940000	0.056400	1.000000	0.940000	0.060000	0.010067	-50.659680	-95.312790	-42.521358	105.582863	16.276644
6	0.940000	0.060000	0.000000	0.940000	0.056400	0.940000	0.056400	1.000000	0.940000	0.060000	0.000000	-33.071504	-96.782919	-22.449251	148.667337	21.244507
7	0.960000	0.040000	0.010714	0.960000	0.038400	0.960000	0.028400	0.739583	0.950000	0.030000	0.005357	-37.261904	-70.964840	-34.113254	73.703173	6.297301
8	0.870000	0.130000	0.015432	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.023148	-87.577803	-182.900891	-67.715363	230.371055	39.724880
9	0.870000	0.130000	0.013201	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.009901	-79.877932	-176.735208	-63.954641	225.561135	31.846582
10	0.960000	0.040000	0.006250	0.960000	0.038400	0.960000	0.038400	1.000000	0.960000	0.040000	0.009375	-38.548435	-72.879447	-31.242137	83.274619	14.612594
11	0.900000	0.100000	0.009524	0.900000	0.090000	0.895000	0.088975	0.946794	0.890000	0.100000	0.004762	-65.305857	-151.495655	-52.657625	197.676059	25.296464
12	0.890000	0.110000	0.010239	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.010239	-66.247504	-148.721381	-51.909792	193.623179	28.675425
